                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.9957,                 15.748,                 4.3362,                      0,                      0,                      0,                      0,                 6.3141,                 11.501,                 4.1644,                0.00024,                0.00024,                0.00024
                      1,                 5.7959,                 11.582,                 4.1832,                      0,                      0,                      0,                      0,                 6.3192,                 11.433,                 4.1805,             0.00049505,             0.00049505,             0.00049505
                      2,                 5.1182,                 9.3207,                 3.8267,                      0,                      0,                      0,                      0,                 6.3201,                 10.572,                 4.1958,             0.00074495,             0.00074495,             0.00074495
                      3,                 4.2212,                 7.0761,                 3.3971,                      0,                      0,                      0,                      0,                 6.3444,                 8.2995,                   4.29,             0.00098971,             0.00098971,             0.00098971
                      4,                 3.5002,                 5.6602,                 2.8133,                      0,                      0,                      0,                      0,                 6.3403,                  7.765,                 4.3096,              0.0012293,              0.0012293,              0.0012293
                      5,                  3.347,                 4.9051,                 2.5633,                      0,                      0,                      0,                      0,                 6.2997,                 7.9806,                 4.2205,              0.0014638,              0.0014638,              0.0014638
                      6,                 3.1471,                  4.362,                 2.3681,                      0,                      0,                      0,                      0,                 6.3287,                 7.5572,                 4.3172,              0.0016931,              0.0016931,              0.0016931
                      7,                 2.9632,                 4.2272,                  2.324,                      0,                      0,                      0,                      0,                 6.4765,                 8.5399,                 5.0324,              0.0018614,              0.0018614,              0.0018614
                      8,                 2.6508,                 3.5954,                 2.1055,                0.10105,                0.01508,                0.00706,                0.00202,                 4.3654,                 6.0914,                 3.2858,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.4043,                 3.3125,                 2.0895,                0.18284,                 0.1206,                0.07879,                0.02768,                 2.8923,                 3.8927,                 2.3229,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.2846,                 3.1236,                 1.8124,                0.31993,                0.25126,                0.18353,                0.06993,                 2.4976,                  3.436,                 2.0945,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.1792,                 2.9214,                 1.7645,                0.25321,                0.16583,                0.09949,                0.04756,                 2.4865,                 3.6896,                  2.025,               0.001802,               0.001802,               0.001802
                     12,                 2.0218,                 2.7184,                 1.6999,                0.36939,                0.15075,                0.13227,                 0.0614,                 2.4457,                 3.6347,                 1.9595,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.8868,                 2.4931,                 1.5959,                0.29434,                 0.2662,                0.16098,                0.08112,                 2.0711,                  3.091,                 1.7916,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.961,                 2.4069,                 1.5432,                0.35916,                0.38693,                0.28932,                0.16034,                 1.9005,                 3.2683,                 1.7292,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.7736,                 2.2636,                 1.5171,                0.47584,                0.46532,                0.43142,                0.25273,                 1.6236,                 2.1582,                 1.5344,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7701,                 2.1679,                 1.4286,                0.45189,                0.40201,                0.37937,                0.20018,                  1.832,                 2.3097,                  1.607,               0.001703,               0.001703,               0.001703
                     17,                 1.7173,                 2.0595,                 1.4429,                0.47138,                0.56281,                0.51438,                0.29949,                 1.5304,                  1.964,                  1.417,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.557,                  1.993,                 1.3503,                0.51749,                0.62814,                0.56091,                0.34881,                 1.4648,                 1.8576,                   1.39,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6505,                 1.9601,                 1.3884,                0.51563,                0.55636,                0.56595,                0.33502,                 1.4299,                 1.8694,                 1.3715,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.5448,                 1.7956,                 1.3039,                0.62496,                0.50251,                0.56988,                0.36728,                 1.3296,                 1.7492,                 1.3166,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5959,                 1.8282,                 1.3413,                 0.5403,                0.57789,                 0.5901,                0.35001,                 1.4594,                 1.6878,                 1.3475,               0.001604,               0.001604,               0.001604
                     22,                 1.4873,                 1.8239,                 1.2932,                0.63352,                0.49749,                0.56447,                 0.3404,                 1.3595,                 1.6524,                 1.3112,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5357,                 1.6709,                 1.2931,                0.64984,                0.67337,                0.68142,                0.43568,                 1.3753,                 1.5823,                  1.322,              0.0015644,              0.0015644,              0.0015644
